# Execution time and date (UTC): Fri Aug  9 13:51:22 2024
# Execution time and date (local): Fri Aug  9 16:51:22 2024
# MPI execution on rank 0 with 2 processes in world
# Reported time measurements are in microseconds
# pretty output format
     msg_size  window_size         runs   recv_index    num_peers receiver_type       id         time     overhead 
            8             1           500             0             1      mpi(ucx)          0 6.788574            0 
            8             1           500             0             1      mpi(ucx)          1 4.762695            0 
            8             1           500             0             1      mpi(ucx)          2 5.046753            0 
            8             1           500             0             1      mpi(ucx)          3 4.641602            0 
            8             1           500             0             1      mpi(ucx)          4 4.716675            0 
            8             1           500             0             1      mpi(ucx)          5 4.687622            0 
            8             1           500             0             1      mpi(ucx)          6 4.735596            0 
            8             1           500             0             1      mpi(ucx)          7 4.534668            0 
            8             1           500             0             1      mpi(ucx)          8 4.656616            0 
            8             1           500             0             1      mpi(ucx)          9 5.098633            0 
            8             1           500             0             1      mpi(ucx)         10 5.027710            0 
            8             1           500             0             1      mpi(ucx)         11 4.580688            0 
            8             1           500             0             1      mpi(ucx)         12 4.610596            0 
            8             1           500             0             1      mpi(ucx)         13 4.697632            0 
            8             1           500             0             1      mpi(ucx)         14 4.572876            0 
            8             1           500             0             1      mpi(ucx)         15 4.520752            0 
            8             1           500             0             1      mpi(ucx)         16 4.633545            0 
            8             1           500             0             1      mpi(ucx)         17 4.583618            0 
            8             1           500             0             1      mpi(ucx)         18 4.674683            0 
            8             1           500             0             1      mpi(ucx)         19 4.582764            0 
            8             1           500             0             1      mpi(ucx)         20 4.624756            0 
            8             1           500             0             1      mpi(ucx)         21 6.371582            0 
            8             1           500             0             1      mpi(ucx)         22 4.551758            0 
            8             1           500             0             1      mpi(ucx)         23 4.570679            0 
            8             1           500             0             1      mpi(ucx)         24 4.569702            0 
            8             1           500             0             1      mpi(ucx)         25 4.761719            0 
            8             1           500             0             1      mpi(ucx)         26 4.573730            0 
            8             1           500             0             1      mpi(ucx)         27 4.564697            0 
            8             1           500             0             1      mpi(ucx)         28 4.507690            0 
            8             1           500             0             1      mpi(ucx)         29 4.618774            0 
            8             1           500             0             1      mpi(ucx)         30 5.255737            0 
            8             1           500             0             1      mpi(ucx)         31 4.595703            0 
            8             1           500             0             1      mpi(ucx)         32 6.133667            0 
            8             1           500             0             1      mpi(ucx)         33 4.636597            0 
            8             1           500             0             1      mpi(ucx)         34 4.601562            0 
            8             1           500             0             1      mpi(ucx)         35 4.549561            0 
            8             1           500             0             1      mpi(ucx)         36 4.573730            0 
            8             1           500             0             1      mpi(ucx)         37 4.651733            0 
            8             1           500             0             1      mpi(ucx)         38 4.629761            0 
            8             1           500             0             1      mpi(ucx)         39 4.631714            0 
            8             1           500             0             1      mpi(ucx)         40 4.585815            0 
            8             1           500             0             1      mpi(ucx)         41 4.735718            0 
            8             1           500             0             1      mpi(ucx)         42 4.588745            0 
            8             1           500             0             1      mpi(ucx)         43 4.596802            0 
            8             1           500             0             1      mpi(ucx)         44 4.518555            0 
            8             1           500             0             1      mpi(ucx)         45 4.597656            0 
            8             1           500             0             1      mpi(ucx)         46 4.629639            0 
            8             1           500             0             1      mpi(ucx)         47 4.647827            0 
            8             1           500             0             1      mpi(ucx)         48 4.564819            0 
            8             1           500             0             1      mpi(ucx)         49 4.673706            0 
            8             1           500             0             1      mpi(ucx)         50 4.571777            0 
            8             1           500             0             1      mpi(ucx)         51 4.596558            0 
            8             1           500             0             1      mpi(ucx)         52 4.482788            0 
            8             1           500             0             1      mpi(ucx)         53 4.617798            0 
            8             1           500             0             1      mpi(ucx)         54 4.702881            0 
            8             1           500             0             1      mpi(ucx)         55 4.645630            0 
            8             1           500             0             1      mpi(ucx)         56 4.563721            0 
            8             1           500             0             1      mpi(ucx)         57 4.759644            0 
            8             1           500             0             1      mpi(ucx)         58 4.636597            0 
            8             1           500             0             1      mpi(ucx)         59 4.521606            0 
            8             1           500             0             1      mpi(ucx)         60 4.552734            0 
            8             1           500             0             1      mpi(ucx)         61 4.581665            0 
            8             1           500             0             1      mpi(ucx)         62 4.597656            0 
            8             1           500             0             1      mpi(ucx)         63 4.771729            0 
            8             1           500             0             1      mpi(ucx)         64 4.693726            0 
            8             1           500             0             1      mpi(ucx)         65 4.661743            0 
            8             1           500             0             1      mpi(ucx)         66 4.572754            0 
            8             1           500             0             1      mpi(ucx)         67 4.682617            0 
            8             1           500             0             1      mpi(ucx)         68 4.552734            0 
            8             1           500             0             1      mpi(ucx)         69 4.527710            0 
            8             1           500             0             1      mpi(ucx)         70 4.637573            0 
            8             1           500             0             1      mpi(ucx)         71 4.682617            0 
            8             1           500             0             1      mpi(ucx)         72 4.624756            0 
            8             1           500             0             1      mpi(ucx)         73 4.637695            0 
            8             1           500             0             1      mpi(ucx)         74 4.573730            0 
            8             1           500             0             1      mpi(ucx)         75 4.577759            0 
            8             1           500             0             1      mpi(ucx)         76 4.602661            0 
            8             1           500             0             1      mpi(ucx)         77 4.606812            0 
            8             1           500             0             1      mpi(ucx)         78 4.619751            0 
            8             1           500             0             1      mpi(ucx)         79 4.615723            0 
            8             1           500             0             1      mpi(ucx)         80 4.592773            0 
            8             1           500             0             1      mpi(ucx)         81 4.697632            0 
            8             1           500             0             1      mpi(ucx)         82 4.586792            0 
            8             1           500             0             1      mpi(ucx)         83 4.560669            0 
            8             1           500             0             1      mpi(ucx)         84 4.520630            0 
            8             1           500             0             1      mpi(ucx)         85 4.605713            0 
            8             1           500             0             1      mpi(ucx)         86 4.655762            0 
            8             1           500             0             1      mpi(ucx)         87 4.599731            0 
            8             1           500             0             1      mpi(ucx)         88 4.616699            0 
            8             1           500             0             1      mpi(ucx)         89 4.738647            0 
            8             1           500             0             1      mpi(ucx)         90 4.605591            0 
            8             1           500             0             1      mpi(ucx)         91 4.578735            0 
            8             1           500             0             1      mpi(ucx)         92 4.540771            0 
            8             1           500             0             1      mpi(ucx)         93 4.622681            0 
            8             1           500             0             1      mpi(ucx)         94 4.657715            0 
            8             1           500             0             1      mpi(ucx)         95 4.643677            0 
            8             1           500             0             1      mpi(ucx)         96 4.558716            0 
            8             1           500             0             1      mpi(ucx)         97 4.639771            0 
            8             1           500             0             1      mpi(ucx)         98 4.612549            0 
            8             1           500             0             1      mpi(ucx)         99 4.622681            0 
            8             1           500             0             1      mpi(ucx)        100 4.497681            0 
            8             1           500             0             1      mpi(ucx)        101 4.593750            0 
            8             1           500             0             1      mpi(ucx)        102 4.631592            0 
            8             1           500             0             1      mpi(ucx)        103 4.580811            0 
            8             1           500             0             1      mpi(ucx)        104 4.586670            0 
            8             1           500             0             1      mpi(ucx)        105 4.681763            0 
            8             1           500             0             1      mpi(ucx)        106 4.578613            0 
            8             1           500             0             1      mpi(ucx)        107 4.553833            0 
            8             1           500             0             1      mpi(ucx)        108 4.543701            0 
            8             1           500             0             1      mpi(ucx)        109 4.603760            0 
            8             1           500             0             1      mpi(ucx)        110 4.535767            0 
            8             1           500             0             1      mpi(ucx)        111 4.656616            0 
            8             1           500             0             1      mpi(ucx)        112 4.632690            0 
            8             1           500             0             1      mpi(ucx)        113 4.611816            0 
            8             1           500             0             1      mpi(ucx)        114 4.511597            0 
            8             1           500             0             1      mpi(ucx)        115 4.600708            0 
            8             1           500             0             1      mpi(ucx)        116 4.573730            0 
            8             1           500             0             1      mpi(ucx)        117 4.568726            0 
            8             1           500             0             1      mpi(ucx)        118 4.578613            0 
            8             1           500             0             1      mpi(ucx)        119 4.616699            0 
            8             1           500             0             1      mpi(ucx)        120 4.676636            0 
            8             1           500             0             1      mpi(ucx)        121 4.638672            0 
            8             1           500             0             1      mpi(ucx)        122 4.636597            0 
            8             1           500             0             1      mpi(ucx)        123 4.656616            0 
            8             1           500             0             1      mpi(ucx)        124 4.626587            0 
            8             1           500             0             1      mpi(ucx)        125 5.155640            0 
            8             1           500             0             1      mpi(ucx)        126 5.740723            0 
            8             1           500             0             1      mpi(ucx)        127 4.581665            0 
            8             1           500             0             1      mpi(ucx)        128 4.571655            0 
            8             1           500             0             1      mpi(ucx)        129 4.587769            0 
            8             1           500             0             1      mpi(ucx)        130 4.653687            0 
            8             1           500             0             1      mpi(ucx)        131 4.638672            0 
            8             1           500             0             1      mpi(ucx)        132 4.586670            0 
            8             1           500             0             1      mpi(ucx)        133 4.689697            0 
            8             1           500             0             1      mpi(ucx)        134 4.573608            0 
            8             1           500             0             1      mpi(ucx)        135 4.602661            0 
            8             1           500             0             1      mpi(ucx)        136 4.478638            0 
            8             1           500             0             1      mpi(ucx)        137 4.643677            0 
            8             1           500             0             1      mpi(ucx)        138 4.603760            0 
            8             1           500             0             1      mpi(ucx)        139 4.639771            0 
            8             1           500             0             1      mpi(ucx)        140 4.585693            0 
            8             1           500             0             1      mpi(ucx)        141 4.639771            0 
            8             1           500             0             1      mpi(ucx)        142 4.566772            0 
            8             1           500             0             1      mpi(ucx)        143 4.542603            0 
            8             1           500             0             1      mpi(ucx)        144 4.616699            0 
            8             1           500             0             1      mpi(ucx)        145 4.619751            0 
            8             1           500             0             1      mpi(ucx)        146 4.623657            0 
            8             1           500             0             1      mpi(ucx)        147 4.589722            0 
            8             1           500             0             1      mpi(ucx)        148 4.629761            0 
            8             1           500             0             1      mpi(ucx)        149 4.666748            0 
            8             1           500             0             1      mpi(ucx)        150 4.571533            0 
            8             1           500             0             1      mpi(ucx)        151 4.565674            0 
            8             1           500             0             1      mpi(ucx)        152 4.572754            0 
            8             1           500             0             1      mpi(ucx)        153 4.720703            0 
            8             1           500             0             1      mpi(ucx)        154 4.637573            0 
            8             1           500             0             1      mpi(ucx)        155 4.625610            0 
            8             1           500             0             1      mpi(ucx)        156 4.563721            0 
            8             1           500             0             1      mpi(ucx)        157 4.857544            0 
            8             1           500             0             1      mpi(ucx)        158 4.513672            0 
            8             1           500             0             1      mpi(ucx)        159 4.637695            0 
            8             1           500             0             1      mpi(ucx)        160 4.576782            0 
            8             1           500             0             1      mpi(ucx)        161 4.608643            0 
            8             1           500             0             1      mpi(ucx)        162 4.542603            0 
            8             1           500             0             1      mpi(ucx)        163 4.646729            0 
            8             1           500             0             1      mpi(ucx)        164 4.669556            0 
            8             1           500             0             1      mpi(ucx)        165 4.613647            0 
            8             1           500             0             1      mpi(ucx)        166 4.509766            0 
            8             1           500             0             1      mpi(ucx)        167 4.584595            0 
            8             1           500             0             1      mpi(ucx)        168 4.595703            0 
            8             1           500             0             1      mpi(ucx)        169 4.610596            0 
            8             1           500             0             1      mpi(ucx)        170 4.630737            0 
            8             1           500             0             1      mpi(ucx)        171 4.638550            0 
            8             1           500             0             1      mpi(ucx)        172 4.632690            0 
            8             1           500             0             1      mpi(ucx)        173 4.674561            0 
            8             1           500             0             1      mpi(ucx)        174 4.580566            0 
            8             1           500             0             1      mpi(ucx)        175 4.569702            0 
            8             1           500             0             1      mpi(ucx)        176 4.493652            0 
            8             1           500             0             1      mpi(ucx)        177 4.603638            0 
            8             1           500             0             1      mpi(ucx)        178 4.632690            0 
            8             1           500             0             1      mpi(ucx)        179 4.623657            0 
            8             1           500             0             1      mpi(ucx)        180 4.541504            0 
            8             1           500             0             1      mpi(ucx)        181 4.659668            0 
            8             1           500             0             1      mpi(ucx)        182 4.606812            0 
            8             1           500             0             1      mpi(ucx)        183 4.590576            0 
            8             1           500             0             1      mpi(ucx)        184 4.539795            0 
            8             1           500             0             1      mpi(ucx)        185 4.641724            0 
            8             1           500             0             1      mpi(ucx)        186 4.774658            0 
            8             1           500             0             1      mpi(ucx)        187 4.556641            0 
            8             1           500             0             1      mpi(ucx)        188 4.492798            0 
            8             1           500             0             1      mpi(ucx)        189 4.572876            0 
            8             1           500             0             1      mpi(ucx)        190 4.647705            0 
            8             1           500             0             1      mpi(ucx)        191 4.616699            0 
            8             1           500             0             1      mpi(ucx)        192 4.625610            0 
            8             1           500             0             1      mpi(ucx)        193 4.647827            0 
            8             1           500             0             1      mpi(ucx)        194 4.612793            0 
            8             1           500             0             1      mpi(ucx)        195 4.566650            0 
            8             1           500             0             1      mpi(ucx)        196 4.505859            0 
            8             1           500             0             1      mpi(ucx)        197 4.614624            0 
            8             1           500             0             1      mpi(ucx)        198 4.625610            0 
            8             1           500             0             1      mpi(ucx)        199 4.673706            0 
            8             1           500             0             1      mpi(ucx)        200 4.586670            0 
            8             1           500             0             1      mpi(ucx)        201 4.693726            0 
            8             1           500             0             1      mpi(ucx)        202 4.547607            0 
            8             1           500             0             1      mpi(ucx)        203 4.552612            0 
            8             1           500             0             1      mpi(ucx)        204 4.512695            0 
            8             1           500             0             1      mpi(ucx)        205 4.619629            0 
            8             1           500             0             1      mpi(ucx)        206 4.653687            0 
            8             1           500             0             1      mpi(ucx)        207 4.562744            0 
            8             1           500             0             1      mpi(ucx)        208 4.636719            0 
            8             1           500             0             1      mpi(ucx)        209 4.656616            0 
            8             1           500             0             1      mpi(ucx)        210 4.597656            0 
            8             1           500             0             1      mpi(ucx)        211 4.516724            0 
            8             1           500             0             1      mpi(ucx)        212 4.558594            0 
            8             1           500             0             1      mpi(ucx)        213 4.647705            0 
            8             1           500             0             1      mpi(ucx)        214 4.642578            0 
            8             1           500             0             1      mpi(ucx)        215 4.632690            0 
            8             1           500             0             1      mpi(ucx)        216 4.610718            0 
            8             1           500             0             1      mpi(ucx)        217 4.711670            0 
            8             1           500             0             1      mpi(ucx)        218 4.561768            0 
            8             1           500             0             1      mpi(ucx)        219 4.569824            0 
            8             1           500             0             1      mpi(ucx)        220 4.540649            0 
            8             1           500             0             1      mpi(ucx)        221 4.617798            0 
            8             1           500             0             1      mpi(ucx)        222 4.642700            0 
            8             1           500             0             1      mpi(ucx)        223 4.580688            0 
            8             1           500             0             1      mpi(ucx)        224 4.621704            0 
            8             1           500             0             1      mpi(ucx)        225 4.667725            0 
            8             1           500             0             1      mpi(ucx)        226 4.612549            0 
            8             1           500             0             1      mpi(ucx)        227 4.522705            0 
            8             1           500             0             1      mpi(ucx)        228 4.569580            0 
            8             1           500             0             1      mpi(ucx)        229 4.623657            0 
            8             1           500             0             1      mpi(ucx)        230 4.655762            0 
            8             1           500             0             1      mpi(ucx)        231 4.573730            0 
            8             1           500             0             1      mpi(ucx)        232 4.592773            0 
            8             1           500             0             1      mpi(ucx)        233 4.753540            0 
            8             1           500             0             1      mpi(ucx)        234 4.644531            0 
